,RMSE (₹),MAE (₹),MAPE (%),R2_Score,Directional_Accuracy (%)
Random_Forest,0.8981,0.3738,3.782,0.9678,60.952
XGBoost,1.0699,0.4242,3.872,0.9514,62.886
LightGBM,0.9295,0.4117,3.856,0.9655,60.49
Ridge,1.2942,0.7475,5.11,0.8924,53.364
Stacking_Ensemble,0.9675,0.4044,3.836,0.962,61.996
